,Political and operational stability,Government effectiveness,Regulatory quality,Rule of law,Cost of redudancy dismissal,Policies for doing business,"Entrepreneurship policies and culture
","Expenditure on education, % GDP","Government funding/pupil, secondary, % GDP/cap","School life expectancy, years","PISA scales in reading, maths and science","Pupil-teacher ratio, secondary","Tertiary enrolment, % gross","Graduates in science and engineering, %","Tertiary inbound mobility, %","Researchers, FTE/mn pop.","Gross expenditure on R&D, % GDP","Global corporate R&D investors, top 3, mn US$","QS university ranking, top 3",ICT access,ICT use,Government's online service,E-participation,"Electricity output, GWh/mn pop.",Logistics performance,"Gross capital formation, % GDP",GDP/unit of energy use,Environmental performance,ISO 14001 environmental certificates/bn PPP$ GDP,Finance for startups and scaleups,"Domestic credit to private sector, % GDP","Loans from microfinance institutions, % GDP","Market capitalization, % GDP","Venture capital investors, deals/bn PPP$ GDP","Venture capital recipients, deals/bn PPP$ GDP
","Venture capital received, value, % GDP
","Applied tariff rate, weighted avg., %",Domestic industry diversification,"Domestic market scale, bn PPP$","Knowledge-intensive employment, %","Firms offering formal training, %","GERD performed by business, % GDP","GERD financed by business, %","Females employed w/advanced degrees, %",University-industry R&D collaboration†,State of cluster development and depth†,"GERD financed by abroad, % GDP",Joint venture/strategic alliance deals/bn PPP$ GDP,Patent families/bn PPP$ GDP,"Intellectual property payments, % total trade","High-tech imports, % total trade","ICT services imports, % total trade","FDI net inflows, % GDP","Research talent, % in businesses",Patents by origin/bn PPP$ GDP,PCT patents by origin/bn PPP$ GDP,Utility models by origin/bn PPP$ GDP,Scientific and technical articles/bn PPP$ GDP,Citable documents H-index,"Labor productivity growth, %",New businesses/th pop. 15–64,"Software spending, % GDP",ISO 9001 quality certificates/bn PPP$ GDP,"High-tech manufacturing, %","Intellectual property receipts, % total trade",Production and export complexity,"High-tech exports, % total trade","ICT services exports, % total trade","Intangible asset intensity, top 15, %
","Trademarks by origin/bn PPP$ GDP
","Global brand value, top 5,000, % GDP","Industrial designs by origin/bn PPP$ GDP
","Cultural and creative services exports, % total trade",National feature films/mn pop. 15–69,Entertainment and media market/th pop. 15–69,"Printing and other media, % manufacturing","Creative goods exports, % total trade",Generic top-level domains (TLDs)/th pop. 15–69,Country-code TLDs/th pop. 15–69,GitHub commits/mn pop. 15–69,Mobile app creation/bn PPP$ GDP,Global Innovation Score
Albania,69.1,46.8,50.9,36.8,74.6,37.1,0,21.3,10.3,54.9,35,89.2,37.2,35.9,4.5,0,0,0,0,84.5,58.7,84.1,84.5,9.1,28.4,26.8,46.8,47.1,24.9,0,13.1,5.7,0,0,7.2,2.8,92.9,92.2,0.8,26.2,55,0,0,42.5,50.5,28.9,0,6.1,0,15.7,9.3,30.5,59.5,0,1.1,0,1.1,10.6,2.1,57.1,6.1,10.3,24.1,3.8,11.5,31.3,2.5,13.1,0,22,0,5.6,36.1,8.3,0,100,0.5,6.7,3.5,4.9,0.5,24.4
Algeria,56.4,38.4,12.7,25.8,81.5,43.9,0,57.4,0,54.1,11.3,0,33.5,68,1.4,9.3,9.7,0,0,80.4,57,27.6,15.5,9.2,18.6,65.5,19.7,29.6,2.2,0,9.5,0,0,0,0,2.2,34.3,31.9,11.8,25.4,0,0.7,8.3,26.5,37.1,48.3,0,1.4,0.1,8.7,24.7,8.7,46.7,0.2,2.5,0.3,0,14.5,9.8,49.5,1.3,0.6,2.2,3.9,0.1,17.5,0.3,1.5,0,16.8,0,14.7,0.3,0.9,0.8,4,0.1,0.5,0.1,2.2,0.1,16.7
Angola,61.8,24.3,22.3,21.1,80.5,39.3,24.2,13.1,0,21.5,0,45.1,3.6,8.5,0,0.1,0.4,0,0,41.9,24,48.8,45.2,2.3,0,31.1,35.5,30.5,0.3,25.7,2.9,0.1,0,0,0,0,40.3,16,4.7,14.3,0,0,0,5,18.7,28.1,0,1.5,0,15.5,6,14.1,36.4,0,0.1,0.1,0.8,0,0.4,7.7,0,0,0.9,2.4,0.4,6.7,6,0.4,0,7,0,0,0,0,0,60.6,0.1,0,0.1,0.2,0,13.9
Argentina,63.6,45,30.8,33.9,55.8,12.4,76.2,40.9,26,78.3,24.9,0,63.2,20.1,9.3,14,8.4,0,43.1,90.8,62.2,84.7,85.7,15.5,39.1,23.3,26.4,41.1,8.4,30.5,4.1,0,4.2,1,1.6,9.2,55.5,81.4,23.4,37.5,46.8,3.4,32.7,53.9,38,40.4,8.2,3.3,2,57.2,30.5,52.4,48.2,13.4,7.7,0,4.2,14.7,27.8,33.1,0.7,22.2,16.5,33.6,14.1,35.9,16.9,22.3,83.8,50.3,5.7,8,30,32.5,4.5,0,1.1,3.1,6.3,7.4,6.8,28.6
Armenia,61.8,47,51.2,43.9,90.1,53.3,58.6,16.6,23.4,45.8,0,88,32.3,17.1,15.7,0,3.7,0,0,93.3,62.9,70,75,12.7,26.1,18,27.4,48.3,0.5,30.7,26.3,0,0,2.6,0,0,79.9,64.5,0.8,27.6,29.5,0,20.6,54.6,35.7,42.8,1.8,3.2,2.7,0,23.5,9.5,47.3,0,12.8,1.8,13.6,27.1,9.9,69.9,11.7,11.7,2.1,5.7,0,35.3,12.9,53.5,0,65.3,0,4.6,10.3,0,0,39.8,9,3.1,5.1,8,10.1,26.6
Australia,83.6,84.6,90.3,88.9,92.1,67.1,46.1,45.7,28.9,100,67.3,0,76.2,30.9,69.4,0,33.5,65.6,81.9,88.9,81.8,94.7,96.4,50.5,79.1,31.4,22.7,60.1,14,44.1,54.1,0,40.6,21.4,30.9,20.2,95.4,91.8,31.9,74.3,0,18.7,0,94.2,53.8,55.1,0,58.1,24.8,28.4,35.5,27.8,50.6,0,13.8,24.8,16.2,79.3,69,49.5,58.9,22.2,15.4,31.8,11.5,31,28.5,10.1,81.8,49.7,29.6,12.1,5.8,4.4,54.3,50.7,7.4,61.4,54.8,32.2,12.2,47.1
Austria,83.6,85.3,79.9,93,100,83.4,58.1,46.9,46.9,65.5,64.1,91.7,57,71.4,47.1,66,58.8,57.9,44.3,91,82.5,94.7,97.6,38,92.1,38.1,38.8,66.5,16.4,46,34.7,0,10.7,20.9,16.9,13.7,90.4,99.6,11.8,67.2,50.1,45.2,62,62,62.4,66.9,91.2,11.7,55.5,19.1,21.2,64.3,36.9,76.8,69.5,59.4,13.4,57.4,44.2,44.4,2,48.5,19.1,60.6,20.9,83.2,54.5,28.4,77,41.5,23,33.7,27.1,30.6,58.6,24.3,10.9,35.5,63,29.6,8.2,50.2
Azerbaijan,70.9,46,37.1,28.2,88.7,69.6,0,16.3,20.1,48.4,27.8,95.1,21.6,49.6,6.2,19.8,3.9,0,0,86.2,60.7,70.6,69,12.4,0,19.1,23,38.6,3,0,8.1,0,0,0,0,0,61.6,81,3.3,34,38.2,0.1,38.1,44.4,59.8,60.3,0,2.2,1.9,0,15.9,10.5,49.8,0,5.7,0.4,4.8,6.9,5.3,49.1,5.2,6,4.2,13.8,0,13.7,4.9,3,0,18.6,0,1.3,2.3,1.8,0,18.1,1.3,0.9,1.5,1.9,0.1,21.4
Bahrain,69.1,58.9,60.6,58.8,88.9,77.5,0,9.9,27.9,67.5,0,88.8,38.9,20.3,34,4.1,1.7,0,11.6,94.2,77.2,78.8,77.4,100,40.9,51.9,8.2,42,13.2,0,27,0,24.7,11.9,9.4,7.6,86.9,63.8,1.6,32,0,0.4,26.9,0,39,56.1,2.2,48.1,0.9,0,11.3,6.4,49.6,0.1,1,1.3,0,8.5,4,74.1,12.7,29.6,16,11.7,0,42.5,12.2,22,46.2,1.5,5.4,1.1,0,0,4.7,0,10.2,4.3,0.9,3.1,0.1,27.9
Bangladesh,58.2,32.7,22.4,31.2,54.5,46.4,0,0,5,41.2,0,29.1,13,5.6,0,0,0,0,8.9,76,38.6,61.2,57.1,2.4,24.6,44.7,48.6,23.1,1.1,0,15.7,47,9.6,0,1.6,1.4,28.9,75.1,21.3,9.8,21.8,0,0,3.9,29.4,43,0,3.8,0.1,2.5,22.1,3.6,46.4,0,0.4,0,0,8.7,12.2,90.6,0,15.4,1.1,7.2,0.4,20.9,5.3,6.2,82.2,6.3,1.6,8.1,3.6,0,0,1.9,0.7,0.4,0.1,1.4,1.9,19.7
