"","PC1","PC2","PC3","HDI_Score"
"Switzerland",3.2414148342258,0.826054376842049,-0.435739068334378,0.962
"Norway",3.28936719733055,0.613309686688768,-0.0386550046892432,0.961
"Iceland",3.34659891435201,0.0120919974144598,0.0377873447410847,0.959
"Hong Kong",3.11250704570453,0.843813805803614,0.202099645576848,0.952
"Australia",3.47135417222314,-0.294899962432501,0.759388241755936,0.951
"Denmark",3.15491395504515,0.34263094535471,-0.0322446434110975,0.948
"Sweden",3.18275885069081,0.124295188554362,0.355221096507644,0.947
"Ireland",3.64965300102275,1.52678321890628,-0.102616554746563,0.945
"Germany",2.84042513740817,0.193327906647715,-0.457925018591892,0.942
"Netherlands",3.00890609641135,0.250464276190435,0.141586344514031,0.941
"Finland",2.99201685452257,-0.0837232979132598,0.259635112190557,0.94
"Singapore",3.33202835098843,1.84953357259557,-0.43573292007297,0.939
"Belgium",3.06091301296421,0.0200994161174735,0.379173827728337,0.937
"New Zealand",3.10750082307488,-0.443288067996882,0.545842428270926,0.937
"Canada",2.64730033956451,0.0934953131931554,-0.203842901719828,0.936
"Liechtenstein",3.23309463156175,1.95974028352166,-0.701697342051742,0.935
"Luxembourg",3.12531991141073,1.98451476092824,-0.965273870750937,0.93
"UK",2.57028124165915,-0.0809166133640165,-0.117444636826599,0.929
"Japan",2.40911356586909,0.212331666867719,-0.0619654785613298,0.925
"South Korea",2.47328715751867,0.214660157739144,0.187246044319265,0.925
"USA",2.6692048678376,0.649518788587174,-0.879431217087515,0.921
"Israel",2.36534237783017,0.0113168536732235,-0.0868970093139566,0.919
"Malta",2.35287398245832,0.0142598228873723,0.386599290836879,0.918
"Slovenia",2.41677814220547,-0.247809534541631,0.148150492181628,0.918
"Austria",2.42905474585444,0.600997611335831,-0.136453341678954,0.916
"United Arab Emirates",2.45646878304259,0.84306501903511,-0.611932130211532,0.911
"Spain",2.22748150682581,0.0581918655384707,0.818354469172926,0.905
"France",2.16362311567116,0.477266084493141,0.16756314061096,0.903
"Cyprus",1.98481905564092,0.0734711458733225,0.00371546986662419,0.896
"Italy",2.04590910257636,0.451641190469934,0.486292567264508,0.895
"Estonia",1.93212931205853,-0.236345116354432,-0.476710530992031,0.89
"Czech Republic",1.94681025943798,-0.150106313351369,-0.2793148575632,0.889
"Greece",2.30467660581692,-0.775947338770254,0.879493355091803,0.887
"Poland",1.74423887561079,-0.401834583639577,-0.364976154436631,0.876
"Bahrain",1.75738648307789,0.175394595710963,0.194427828246288,0.875
"Lithuania",1.77162249787434,-0.377392591669849,-0.665986288128515,0.875
"Saudi Arabia",1.79831563616282,0.355969853306639,-0.137254238617196,0.875
"Portugal",1.64004695314918,0.119741820934493,0.825489464307007,0.866
"Latvia",1.59533652584234,-0.521467888393785,-0.564343933829075,0.863
"Andorra",1.55375841440451,1.13448002457849,-0.203495390712285,0.858
"Croatia",1.43571895257319,-0.199689708105213,-0.156274350617501,0.858
"Chile",1.46632869679701,-0.408806255656786,0.513872553911208,0.855
"Qatar",2.12012675072297,2.62417748822192,-0.831249522600116,0.855
"San Marino",1.47935875740026,1.31557017038831,-0.369295475318136,0.853
"Slovakia",1.27352677553768,-0.260178962811206,-0.587266706553223,0.848
"Hungary",1.27349194304024,-0.160038428644905,-0.43636720165758,0.846
"Argentina",1.38698846160177,-0.827060345208354,0.441550614204703,0.842
"Turkey",1.34261350969892,-0.125674456143283,0.895856316820544,0.838
"Montenegro",1.12986175512379,-0.567827266747649,-0.103017994217969,0.832
"Kuwait",1.3119978882049,1.36664090266938,0.60142304227239,0.831
"Brunei",1.38185202534378,1.59500326690406,-0.449187369079335,0.829
"Russia",1.03342452643213,-0.689676142314558,-0.730420143366386,0.822
"Romania",0.907729930729344,-0.0148201151895022,-0.338107660226512,0.821
"Oman",0.856447910799908,-0.281007030693259,-0.441732972668067,0.816
"Bahamas",0.722067765986033,-0.0653519428132215,-0.980173372361732,0.812
"Kazakhstan",0.879048604089582,-0.73133488409125,-0.576075869231738,0.811
"Trinidad",0.770523547804744,-0.373008798303176,-0.340573051243806,0.81
"Costa Rica",0.866745159958461,-0.272964378458491,0.855416134282106,0.809
"Uruguay",0.873872309907465,-0.33674412346677,0.718965644423924,0.809
"Belarus",0.823819132254313,-0.729742243648563,-0.319255263276087,0.808
"Panama",0.651994000160707,0.20089015994621,-0.130355555274254,0.805
"Malaysia",0.608527258518607,0.115732040463652,-0.212894891862529,0.803
"Georgia",0.857964100345407,-1.06229730504657,-0.393278837155886,0.802
"Mauritius",0.712139067526487,-0.329411650504901,0.0682864563522278,0.802
"Serbia",0.701438455820346,-0.455808960166472,-0.158499398676493,0.802
"Thailand",0.790881597579068,-0.2382888600215,0.963458392846581,0.8
"Albania",0.722029753949199,-0.569201778285741,0.107671706406511,0.796
"Bulgaria",0.546933916333562,-0.294456285921866,-0.463381510139818,0.795
