"","PC1","PC2","PC3","spi_score"
"Norway",5.65943461850507,-1.37829423148481,0.101523140132078,92.63
"Finland",5.54612536098346,-1.42890435497039,0.402744285575616,92.26
"Denmark",5.53076064831012,-1.33789856568887,0.112850781539924,92.15
"Iceland",5.48643411057303,-1.22132723403352,-0.0423621049824855,91.78
"Switzerland",5.48405028864821,-1.13642029979142,0.161516899686116,91.78
"Canada",5.38122916481542,-1.4313833938547,0.151797447805572,91.41
"Sweden",5.32716752168105,-1.46306277016714,0.22875536132161,91.2
"Netherlands",5.19857620445797,-1.18294440409748,-0.001224131813676,90.57
"Japan",5.19333063804005,-0.700920889507161,-0.171823641632711,90.44
"Germany",5.12676456870313,-1.19910606580716,0.00416885795563854,90.32
"Australia",5.13894790195036,-0.998423966092302,-0.158170535218197,90.28
"New Zealand",5.06321904322099,-1.06402830077255,-0.192047791190494,90.02
"Ireland",4.92540742770771,-1.32076946561703,-0.0919002922175394,89.47
"Austria",4.97039517907796,-0.732427668193175,0.0266666466796439,89.44
"Luxembourg",4.77830111035712,-1.07573332040966,0.234618128276514,88.75
"Belgium",4.74276617601497,-0.844393342419153,0.104182413300622,88.68
"South Korea",4.72749233269455,-0.461974846358889,-0.415155332414783,88.42
"UK",4.66971114276543,-0.846239404781782,0.336177948431238,88.25
"France",4.66129323106107,-0.90419414218841,0.316854458373475,88.23
"Spain",4.49152911717035,-0.919772917351699,0.121958396871085,87.53
"Estonia",4.44026038100204,-0.506495630959518,0.69561970128643,87.38
"Czech Republic",4.28676725551034,-0.507302338022704,-0.201023210564634,86.6
"Italy",4.22253295078676,-0.885976046172991,0.238204781376738,86.56
"USA",4.18106281214757,-0.616541715809762,0.637382813075724,86.29
"Portugal",4.13394770293687,-0.967533512566161,-0.133391595216364,85.97
"Slovenia",4.136986825952,-0.58553967229237,0.0340155830041725,85.83
"Lithuania",3.98690279005819,-0.692509099539724,0.445270352006665,85.58
"Malta",3.97994605219747,-0.513712226248648,-0.38467201647381,85.24
"Cyprus",3.92012763102801,-0.266865449849752,0.016353953149549,85.03
"Singapore",4.07823244018801,0.3403102062683,-0.0791461762250216,84.73
"Greece",3.77394105246778,-0.444948824850316,-0.0182877041607186,84.37
"Israel",3.68094974502263,-0.236647125073902,0.276899964179675,83.81
"Slovakia",3.58463943065453,-0.372635241011278,-0.328381951237734,83.69
"Latvia",3.52133657651461,-0.251140573830306,0.430855085442436,83.43
"Poland",3.50398392168428,-0.136544591773608,-0.245809298462369,83.08
"Croatia",3.40792836082895,0.107157382130813,0.297248628004559,82.82
"Chile",3.26674675976897,-0.563131934649947,0.217941115702041,82.18
"Costa Rica",3.10948742136434,-0.705663070220137,0.139083509188313,81.73
"Uruguay",2.97039157680272,-0.578200548184706,0.104935312540879,81.15
"Barbados",2.89869963390999,-0.409518895851593,0.03598137827644,80.74
"Argentina",2.77349954311234,-0.741365289119546,0.316116379788504,80.38
"Hungary",2.84524574316057,0.0627464059400134,-0.0183886842005856,80.15
"Bulgaria",2.47170604675864,0.147427944430826,-0.515289610528003,78.81
"Romania",2.39624366189121,0.0788209632464253,-0.334256042361631,78.41
"Mauritius",2.12271532796926,-0.0197751291106583,-0.343119614049142,77.3
"Trinidad",1.95071667670946,-0.0235202571519906,0.408798632343993,76.82
"Serbia",1.88188451825672,0.839201862942128,-0.106172270898729,75.99
"Ukraine",1.78341413758048,0.488398544433257,0.64633191528885,75.78
"Georgia",1.68297040499551,0.641517696871536,-0.0289172297391314,75.47
"Kuwait",1.88950730567775,1.58940172121735,-0.665446378519542,75.32
"Malaysia",1.78076463297386,0.787486247028767,0.146113085214205,75.22
"Panama",1.61989742469539,-0.114869132172323,0.277624005156223,75.01
"Jamaica",1.57146974520968,-0.691830722090468,0.14688642243697,75
"Belarus",1.78212192172638,1.43370065540859,1.48069305580442,74.83
"Armenia",1.51246450601754,0.795414184016859,-0.506518373508985,74.56
"Albania",1.47227818056453,0.467587542239682,-0.0391691280474779,74.51
"Montenegro",1.48968051882763,1.34505555722459,-0.261845137309021,74.15
"Tunisia",1.41094860099139,0.551315156079956,-1.1770082893586,73.95
"Ecuador",1.3183874944358,0.0280699070787755,0.528142985745977,73.85
"Moldova",1.3063393935729,0.738473843320722,-0.319363713223969,73.67
"Peru",1.33583760580403,-0.0584921472790545,0.183229234972432,73.61
"Russia",1.42496721251439,1.5436877748427,2.02022332133041,73.45
"North Macedonia",1.2085517522783,1.1312562000941,-0.774376037974956,73.05
"Kazakhstan",1.16362608884976,1.8223619298846,0.719101521955515,72.23
"Brazil",0.966469746216144,0.247144295694837,1.23999542487322,72.06
"Bosnia and Herzegovina",0.979342546871235,1.19484252930077,-0.662444240254295,71.91
"United Arab Emirates",1.08869571641338,2.40661313287652,-0.0225491116699007,71.58
"Mexico",0.8374427940631,0.482971393823164,0.626296626094265,71.52
"Paraguay",0.816553644238591,0.166203883101101,0.247438903930632,71.49
"Colombia",0.848247898653534,1.01270887100105,1.16946460778787,71.35
"Thailand",0.866256981020559,0.80116016097639,1.4598260526858,70.96
"Sri Lanka",0.80284252012778,0.17500458232503,0.767442471971056,70.81
"Dominican Republic",0.581360766324993,0.241264671591373,0.125383046613105,70.71
"Maldives",0.738571982672708,0.275272330962613,-0.0990457221185834,70.49
"Suriname",0.522839679882527,0.130437605041127,-0.360394485487905,70.22
"Cuba",0.821401582334787,1.18719791128734,0.556232507334854,70.18
"Cape Verde",0.485111303581708,-0.54615227227311,-0.826090007756983,70
"Vietnam",0.609120586196579,0.890761570240877,0.0390711335877003,69.7
"Mongolia",0.302260763072005,-0.283944330491093,-1.0989712309536,69.18
"South Africa",0.26120597026197,-0.748575644660322,0.579682929009493,69.17
"Fiji",0.323453019426828,0.347051207395816,-0.127011848994787,69.06
"Kyrgyzstan",0.303021851729301,1.36973452825075,0.0334933870534836,68.78
"Jordan",0.372190673793535,1.77316348119341,-0.317310164154863,68.77
"Bhutan",0.226875078934151,-0.151535349659637,-1.12719206024253,68.44
"Oman",0.260954999116821,2.25484819059246,-0.838385587076228,68.09
"Qatar",0.455720843010423,3.32539588287666,-1.31385354021314,68.07
